book a spot for 3 in mt	O O O O B-party_size_number O B-state
book a table on 6/14/2035 at a bakery within walking distance of equatorial guinea that serves paella	O O O O B-timeRange O O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation O B-country I-country O O B-served_dish
i want to book a restaurant for a year from now in maine	O O O O O B-restaurant_type O B-timeRange I-timeRange I-timeRange I-timeRange O B-state
book me a reservation at a highly rated tavern in hornersville	O O O O O O B-sort I-sort B-restaurant_type O B-city
book a restaurant this year in manning	O O B-restaurant_type B-timeRange I-timeRange O B-city
book the coon chicken inn in baker city for 4 people	O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city I-city O B-party_size_number O
i want to book a reservation within the same area of amelia court house for 4	O O O O O O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-city I-city I-city O B-party_size_number
i would like to book thomas hynes house for 6 in minnesota	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_number O B-state
book a restaurant for marcella  erma and leanne rivera	O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
i need a reservation for a party of ten in algeria	O O O O O O O O B-party_size_number O B-country
book a meal for four in dc	O O B-timeRange O B-party_size_number O B-state
my brother in law and i would like to go to guinea-bissau for food	B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O B-country O O
book the best halal restaurant in slovakia for brigitte taylor  katelyn and natalie on jun  2	O O B-sort B-cuisine B-restaurant_type O B-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange
book a restaurant this year in pagosa junction for a romanian stle cusine for a party of two	O O B-restaurant_type B-timeRange I-timeRange O B-city I-city O O B-cuisine O O O O O O B-party_size_number
book a popular brasserie in roads end	O O B-sort B-restaurant_type O B-city I-city
book a reservation for five people at a restaurant with pool in benkelman  mi in apr	O O O O B-party_size_number O O O B-restaurant_type O B-facility O B-city B-state O B-timeRange
book a table for seven people at a restaurant which has internet	O O O O B-party_size_number O O O B-restaurant_type O O B-facility
book a restaurant for nine in south sudan	O O B-restaurant_type O B-party_size_number O B-country I-country
i d like to eat at an outdoor restaurant	O O O O O O O B-facility B-restaurant_type
book a restaurant for me  valarie and caroline in 56 weeks  in soldier pond	O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description B-timeRange I-timeRange I-timeRange O B-city I-city
i need a reservation for a party of three  maybe a gastropub that sells steak	O O O O O O O O B-party_size_number O O B-restaurant_type O O B-served_dish
book an outdoor restaurant	O O B-facility B-restaurant_type
book a restaurant for me and my mother in law in montserrat	O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-country
book spot at a balinese joint	O O O O B-cuisine B-restaurant_type
book a restaurant reservation for my gf and i within walking distance of sondra s university	O O B-restaurant_type O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description B-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi
can you get me a table at a chicken and waffles joint in new mexico	O O O O O O O O B-served_dish I-served_dish I-served_dish B-restaurant_type O B-state I-state
please book a restaurant for nine members	O O O B-restaurant_type O B-party_size_number O
book a table at a brasserie far from my livonia av	O O O O O B-restaurant_type B-spatial_relation O O B-poi I-poi
i want to book a restaurant in barbados that serves creole	O O O O O B-restaurant_type O B-country O O B-cuisine
i have four people needing a restaurant reservation	O O B-party_size_number O O O B-restaurant_type O
i need a table for a party of 2 at co-operative block building in old glory	O O O O O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name O B-city I-city
book a table for sep  the second  2020 at a highly rated place for me and my baby at a joint serving cambodian	O O O O B-timeRange I-timeRange I-timeRange I-timeRange O O B-sort I-sort O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-cuisine
book a table at carter house inn in saint bonaventure  alaska	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city I-city B-state
book a restaurant for six in mp	O O B-restaurant_type O B-party_size_number O B-state
book a restaurant in ca for my parents and i on oct  the seventeenth	O O B-restaurant_type O B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange I-timeRange
book a table at a diner which serves thousand island dressing in ivory coast	O O O O O B-restaurant_type O O B-served_dish I-served_dish I-served_dish O B-country I-country
book a restaurant in san juan capistrano for 6 people at ten am	O O B-restaurant_type O B-city I-city I-city O B-party_size_number O O B-timeRange I-timeRange
book a reservation for a taverna at sunrise in kaanapali	O O O O O B-restaurant_type O B-timeRange O B-city
book a table for me  naomi and elisabeth at a brasserie with wifi	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-facility
i need to book a highly rated restaurant in coronado	O O O O O B-sort I-sort B-restaurant_type O B-city
book a reservation for seven people at a bar in kentucky	O O O O B-party_size_number O O O B-restaurant_type O B-state
therese  clara and i want to go to the tennessee ridge	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O B-city I-city
book a reservation for me and my wife at the middle east in guernsey	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name O B-country
book a masala bar on march 6  2034	O O B-served_dish B-restaurant_type O B-timeRange I-timeRange I-timeRange
book a spot in town in the same area as me	O O O B-poi I-poi B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O O
i want a table for eight at gu	O O O O O B-party_size_number O B-state
i need to book a table for three at a restaurant in south sudan	O O O O O O O B-party_size_number O O B-restaurant_type O B-country I-country
i want to book a table for two at a close by bar in kuwait	O O O O O O O B-party_size_number O O B-spatial_relation I-spatial_relation B-restaurant_type O B-country
book the best close-by bar in union city	O O B-sort B-spatial_relation B-restaurant_type O B-poi I-poi
book a spot at the top-rated pub in garner	O O O O O B-sort B-restaurant_type O B-city
i have a party of 7 in east timor	O O O O O B-party_size_number O B-country I-country
book a reservation for 5 people next week at the pump room  chicago	O O O O B-party_size_number O B-timeRange I-timeRange O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
book a spot for vicki and i at a restaurant in puerto rico	O O O O B-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-state I-state
i m looking to bring shawn  marguerite and della to a place to eat at near rwanda	O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O O B-spatial_relation B-country
book a restaurant for 7 in mn	O O B-restaurant_type O B-party_size_number O B-state
book a restaurant in town not far from here for me and my mother in law	O O B-restaurant_type B-poi I-poi B-spatial_relation I-spatial_relation O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a table for 10 people at harry’s bar  benin	O O O O B-party_size_number O O B-restaurant_name I-restaurant_name B-country
reserve a table for 1 person in wi	O O O O B-party_size_number O O B-state
book a table for three at a middle eastern gastropub	O O O O B-party_size_number O O B-cuisine I-cuisine B-restaurant_type
book a reservation for six for a tyrolean oyster bar	O O O O B-party_size_number O O B-cuisine B-restaurant_type I-restaurant_type
book a spot in mi	O O O O B-state
get me a table at a bar which has a spa	O O O O O O B-restaurant_type O O O B-facility
book a popular tuscan restaurant for 7 people in west richfield	O O B-sort B-cuisine B-restaurant_type O B-party_size_number O O B-city I-city
book a restaurant for 2 in cross timbers  district of columbia	O O B-restaurant_type O B-party_size_number O B-city I-city B-state I-state I-state
please find a restaurant in sierraville wyoming that has room for 6	O O O B-restaurant_type O B-city B-state O O O O B-party_size_number
book a mexican brasserie close by woodcliff lake for a party of 7 on april 25  2026	O O B-cuisine B-restaurant_type B-spatial_relation I-spatial_relation B-poi I-poi O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange
book a reservation for me and my step sister in nebraska in two seconds	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-state B-timeRange I-timeRange I-timeRange
i need to book a table at a bar in micronesia for tia  madeline and estela	O O O O O O O O B-restaurant_type O B-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book me a table for one at blue ribbon barbecue	O O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name
i need a table right now for four in me	O O O O O B-timeRange O B-party_size_number O B-state
please book a table for 10 at a faraway top-rated brasserie in malaysia on oct  the thirteenth	O O O O O B-party_size_number O O B-spatial_relation B-sort B-restaurant_type O B-country O B-timeRange I-timeRange I-timeRange
find me a bar in eagle pass  vermont that serves noodle dishes  that will take reservations for 2/21/2021	O O O B-restaurant_type O B-city I-city B-state O O B-served_dish O O O O O O B-timeRange
i want to book a restaurant with a pool for five in conehatta	O O O O O B-restaurant_type O O B-facility O B-party_size_number O B-city
book me a table at a romanian brasserie in rixford	O O O O O O B-cuisine B-restaurant_type O B-city
book a close by brasserie in nc	O O B-spatial_relation I-spatial_relation B-restaurant_type O B-state
book a table for nine pm at a pub in ma	O O O O B-timeRange I-timeRange O O B-restaurant_type O B-state
book a restaurant for monique stewart  arlene and jami	O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a bistro in new zealand in 119 and a half days	O O B-restaurant_type O B-country I-country B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange
book a churrascaria restaurant that serves chips for five people	O O B-restaurant_type I-restaurant_type O O B-served_dish O B-party_size_number O
i want to book a spot at a bar in henniker  north dakota	O O O O O O O O B-restaurant_type O B-city B-state I-state
book a bar for 6 that has stuffed ham and isn t too faraway from canarsie - rockaway parkway on bennington battle day	O O B-restaurant_type O B-party_size_number O O B-served_dish I-served_dish O O O O B-spatial_relation O B-poi I-poi I-poi I-poi O B-timeRange I-timeRange I-timeRange
book me a restaurant in guadeloupe	O O O B-restaurant_type O B-country
john ross house restaurant in town and close-by	B-restaurant_name I-restaurant_name I-restaurant_name B-restaurant_type B-poi I-poi O B-spatial_relation
book a spot for nine in lavalette guam	O O O O B-party_size_number O B-city B-state
reserve a smoking room at the restaurant	O O B-facility I-facility O O B-restaurant_type
find and book a restaurant that serves dumplings	O O O O B-restaurant_type O O B-served_dish
book a table for 2 at the mustard seed  agate	O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name B-city
i need a table for four at ten pm  in dodge park	O O O O O B-party_size_number O B-timeRange I-timeRange O B-city I-city
i need to book a table for 6 people at montreal pool room in croatia	O O O O O O O B-party_size_number O O B-restaurant_name I-restaurant_name I-restaurant_name O B-country
i need a table for 4 at a place not far from palau	O O O O O B-party_size_number O O O B-spatial_relation I-spatial_relation O B-state
book me a restaurant in freshwater bay for ava and i in alaska	O O O B-restaurant_type O B-city I-city O B-party_size_description I-party_size_description I-party_size_description O B-state
i need a reservation for orthodox good friday	O O O O O B-timeRange I-timeRange I-timeRange
book a table at south street diner close to your teenager s college	O O O O B-restaurant_name I-restaurant_name I-restaurant_name B-spatial_relation O B-poi I-poi I-poi I-poi
book a reservation for restaurant in texas	O O O O B-restaurant_type O B-state
book me a reservation for fatty crew in 13 weeks in haskell	O O O O O B-restaurant_name I-restaurant_name B-timeRange I-timeRange I-timeRange O B-city
find me a coffeehouse for nine in indiana that has access to a pool	O O O B-restaurant_type O B-party_size_number O B-state O O O O O B-facility
book a restaurant in gate city for 5 people	O O B-restaurant_type O B-city I-city O B-party_size_number O
i want to book a restaurant in glenarden south dakota for two people	O O O O O B-restaurant_type O B-city B-state I-state O B-party_size_number O
i want to book a restaurant near wyoming for 5 people	O O O O O B-restaurant_type B-spatial_relation B-state O B-party_size_number O
i would like to book a restaurant in the same area as tremont av for nadine  sherrie and i on 3/21/2018	O O O O O O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange
book a reservation for 2 at fashion cafe in diwali	O O O O B-party_size_number O B-restaurant_name I-restaurant_name O B-timeRange
evangeline and petra cooper want to go to a restaurant in 9 years	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O B-restaurant_type B-timeRange I-timeRange I-timeRange
i need a table at a close by restaurnt in hackney for ten	O O O O O O B-spatial_relation I-spatial_relation O O B-poi O B-party_size_number
book a table at the montreal pool room in north carolina for 7 am	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state I-state O B-timeRange I-timeRange
lets go far to the wolseley in maine	O O B-spatial_relation O B-restaurant_name I-restaurant_name O B-state
get me reservations for seven at a restaurant in pw that serves tourte	O O O O B-party_size_number O O B-restaurant_type O B-state O O B-served_dish
book a bar in san marino for five	O O B-restaurant_type O B-country I-country O B-party_size_number
i want to book the distant downtown tribeca grill for august the twenty-third  2025 for wilda and jacklyn	O O O O O B-spatial_relation B-poi B-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description
book a reservation for 6 at a restaurant in deersville	O O O O B-party_size_number O O B-restaurant_type O B-city
book a southeastern restaurant in heard island and mcdonald islands	O O B-cuisine B-restaurant_type O B-country I-country I-country I-country I-country
book a highly rated food court for 2 people on jul  4th	O O B-sort I-sort B-restaurant_type I-restaurant_type O B-party_size_number O O B-timeRange I-timeRange
can  book a pizzeria that will serve a cupcake	O O O B-restaurant_type O O O O B-served_dish
i would like to book a goan restaurant for 8	O O O O O O B-cuisine B-restaurant_type O B-party_size_number
book a restaurant far from kokomo this fall	O O B-restaurant_type B-spatial_relation O B-city B-timeRange I-timeRange
book a table for cherie and josephine in indonesia	O O O O B-party_size_description I-party_size_description I-party_size_description O B-country
book a spot for wilma  gay and i at the gowanus yacht club in montenegro	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-country
book a restaurant in clawson  ms for one	O O B-restaurant_type O B-city B-state O B-party_size_number
find a table for 8 somewhere in bonaire in 345 days	O O O O B-party_size_number O O B-country B-timeRange I-timeRange I-timeRange
reserve a table for teresa and elnora at a fast food joint which serves fish and chips	O O O O B-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type I-restaurant_type I-restaurant_type O O B-served_dish I-served_dish I-served_dish
i want to eat at a bar in saudi arabia that serves cannelloni	O O O O O O B-restaurant_type O B-country I-country O O B-served_dish
book a joint restaurant for four with an outdoor area within the same area as borough de denali	O O B-restaurant_type I-restaurant_type O B-party_size_number O O B-facility B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi
book a spot for three at a bakery in grand portage	O O O O B-party_size_number O O B-restaurant_type O B-city I-city
i d like to go to a restaurant in french polynesia	O O O O O O O B-restaurant_type O B-country I-country
i want to book the best pub for 6 in new mexico	O O O O O B-sort B-restaurant_type O B-party_size_number O B-state I-state
i want seating for five near the pool at the pub	O O O O B-party_size_number B-spatial_relation O B-facility O O B-restaurant_type
can you book reservations for jeanne and charlotte at a diner in mayotte	O O O O O B-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-country
need to book a table in ludden	O O O O O O B-city
find a table for five at harveys in de berry id on april the 10th	O O O O B-party_size_number O B-restaurant_name O B-city I-city B-state O B-timeRange I-timeRange I-timeRange
book a eggo serving brasserie for ten	O O B-served_dish O B-restaurant_type O B-party_size_number
book in bolivia a brasserie for tourte food	O O B-country O B-restaurant_type O B-served_dish O
book me a reservation for a bar that serves lobster roll in or	O O O O O O B-restaurant_type O O B-served_dish I-served_dish O B-state
i want a table for 4 in florida	O O O O O B-party_size_number O B-state
i need to reserve two seats to eat at in salina  alabama	O O O O B-party_size_number O O O O O B-city B-state
i want to book a restaurant for supper in kellerton for 2	O O O O O B-restaurant_type O B-timeRange O B-city O B-party_size_number
restaurant in elberta for alma  deana and olga at 18:49:20 that serves tsipouro	B-restaurant_type O B-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange O O B-cuisine
book me a restaurant	O O O B-restaurant_type
book a table for jasmine  jeannie and leta	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a spot at a coffeehouse in new york with wifi at 8 pm	O O O O O B-restaurant_type O B-state I-state O B-facility O B-timeRange I-timeRange
book a reservation for bettye and lakeisha jimenez at a bar	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type
book a restaurant around thompson	O O B-restaurant_type B-spatial_relation B-poi
i m looking to reserve a table at a pasta restaurant in serbia	O O O O O O O O O B-served_dish B-restaurant_type O B-country
book a reservation for 4 at a bar serving corn relish	O O O O B-party_size_number O O B-restaurant_type O B-served_dish I-served_dish
i want to go to that popular ethiopian restaurant	O O O O O O B-sort B-cuisine B-restaurant_type
book a table for 04:45 pm at a restaurant in washington	O O O O B-timeRange I-timeRange O O B-restaurant_type O B-state
get me a table at the hand & flowers for sixteen hours	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange
me  bobbie and colette want to go to the peak lookout in felicity	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city
i want to book a pub in juniper for 8 that serves bûche de noël	O O O O O B-restaurant_type O B-city O B-party_size_number O O B-served_dish I-served_dish I-served_dish
i want a table for seven at twenty three o clock in angola	O O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange O B-country
i need to book a restaurant with a smoking room in al	O O O O O B-restaurant_type O O B-facility I-facility O B-state
i want to take my parents and i to eat some romagna at a brasserie in north dakota	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-cuisine O O B-restaurant_type O B-state I-state
i need seats for five at a place five and a half months from now	O O O O B-party_size_number O O O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange
book a reservation for one at an italian taverna for two pm in hutchings  north dakota	O O O O B-party_size_number O O B-cuisine B-restaurant_type O B-timeRange I-timeRange O B-city B-state I-state
i want to find parking next to a restaurant for 10	O O O O B-facility O O O B-restaurant_type O B-party_size_number
book a restaurant for seven	O O B-restaurant_type O B-party_size_number
book a pub for eight people in the pitcairn islands	O O B-restaurant_type O B-party_size_number O O O B-country I-country
in apr   i d like to eat at a pub manack montana with 4 people	O B-timeRange O O O O O O O B-restaurant_type B-city B-state O B-party_size_number O
i d like to eat with a party of 8 in hitchita or	O O O O O O O O O B-party_size_number O B-city B-state
i d like a bar with hawaiian food in nd	O O O O B-restaurant_type O B-cuisine O O B-state
i need a table for 4 at the brass rail	O O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name
book a reservation for a top-rated lebanese fast food place	O O O O O B-sort B-cuisine B-restaurant_type I-restaurant_type O
i want a table for four for 2 years from now	O O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange
book a restaurant 2 months from now for seven people in new caledonia	O O B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_number O O B-country I-country
i need a dinner reservation in three months for a restaurant in hills and dales	O O O O O B-timeRange I-timeRange I-timeRange O O B-restaurant_type O B-city I-city I-city
book a highly rated place for my momy and i for mughlai food at a restaurant	O O B-sort I-sort O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-cuisine O O O B-restaurant_type
book a top-rated osteria seven weeks from now	O O B-sort B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange
i need a table in one hour from now at somewhere not far from la	O O O O B-timeRange I-timeRange I-timeRange O O O O B-spatial_relation I-spatial_relation O B-state
restaurant near in town uses in two years	B-restaurant_type B-spatial_relation B-poi I-poi O B-timeRange I-timeRange I-timeRange
book for five in georgia at the coffee bean & tea leaf	O O B-party_size_number O B-state O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
please make a restaurant reservation for somewhere in mondovi  connecticut	O O O B-restaurant_type O O O O B-city B-state
book a restaurant in goshenville pr for october 16  2038	O O B-restaurant_type O B-city B-state O B-timeRange I-timeRange I-timeRange
make me a reservation at taverna in a smoking room	O O O O O B-restaurant_type O O B-facility I-facility
book reservations at a faraway restaurant in newtown at meal time	O O O O B-spatial_relation B-restaurant_type O B-poi O B-timeRange O
book a highly rated coffeehouse for four people	O O B-sort I-sort B-restaurant_type O B-party_size_number O
book a reservation at a restaurant with me  matilda and deana	O O O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book the fashion café for elevenses	O O B-restaurant_name I-restaurant_name O B-timeRange
please book a uncommon grounds coffeehouse restaurant	O O O B-restaurant_name I-restaurant_name I-restaurant_name B-restaurant_type
book a spot at a highly rated pub in woodston	O O O O O B-sort I-sort B-restaurant_type O B-city
can you find me reservations for this morning at a restaurant that serves stracciatella	O O O O O O O B-timeRange O O B-restaurant_type O O B-served_dish
book a reservation for 8 at a restaurant that serves chicken fried bacon in aruba	O O O O B-party_size_number O O B-restaurant_type O O B-served_dish I-served_dish I-served_dish O B-country
i need a reservation for four minutes from now for 3 people in the falkland islands	O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_number O O O B-country I-country
me and robin need reservations for somewhere in palau	B-party_size_description I-party_size_description I-party_size_description O O O O O B-state
i would like to book a restaurant in lebanon	O O O O O O B-restaurant_type O B-country
book the best cafe on jan  18th  2035	O O B-sort B-restaurant_type O B-timeRange I-timeRange I-timeRange
find a reservation at sunset at a gastropub for 2 people	O O O O B-timeRange O O B-restaurant_type O B-party_size_number O
book a restaurant in indiana for me  violet and dianne	O O B-restaurant_type O B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book the electric banana in ewen for crystal and brittney	O B-restaurant_name I-restaurant_name I-restaurant_name O B-city O B-party_size_description I-party_size_description I-party_size_description
book a pub for two on jan  first  2037	O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange
book a spot for me and my great grandfather at a brasserie with a pool at 7 am	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O O B-facility O B-timeRange I-timeRange
i need a reservation for january 9 at a restaurant that serves souvlaki nearby cypress av for a party of 1	O O O O O B-timeRange I-timeRange O O B-restaurant_type O O B-served_dish B-spatial_relation B-poi I-poi O O O O B-party_size_number
book a restaurant 163 days from now	O O B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange
book in ukraine at a highly rated restaurant	O O B-country O O B-sort I-sort B-restaurant_type
book a spot at a pub with tatar in cambodia	O O O O O B-restaurant_type O B-cuisine O B-country
i need a restaurant now for a party of ten	O O O B-restaurant_type B-timeRange O O O O B-party_size_number
i need to book a restaurant that serves sundanese in bonaire for 7	O O O O O B-restaurant_type O O B-cuisine O B-country O B-party_size_number
book a restaurant faraway from rwanda for two	O O B-restaurant_type B-spatial_relation O B-country O B-party_size_number
book a reservation for my parents and i at red crown tourist court in slovakia	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-country
book a spot for me  tiffany and sondra at a top-rated restaurant in ms with udupi	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-sort B-restaurant_type O B-state O B-cuisine
i need a reservation for 4 in illinois	O O O O O B-party_size_number O B-state
book a spot at a pub that has trottole for their meal	O O O O O B-restaurant_type O O B-served_dish O O B-timeRange
book a table for mamie and maria at a south tyrolean restaurant within walking distance from fisk av-69th st	O O O O B-party_size_description I-party_size_description I-party_size_description O O B-cuisine I-cuisine B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi
book a spot for my kids and i at a restaurant with frybread	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-served_dish
i need to book a table for 4	O O O O O O O B-party_size_number
book a table for iris  ina and heidi around 9 pm	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange
make me a reservation for july the tenth at the nosh bar for a party of two	O O O O O B-timeRange I-timeRange I-timeRange O B-restaurant_name I-restaurant_name I-restaurant_name O O O O B-party_size_number
reserve a table for two for jun  13th in a neighboring bistro which serves mongolian food in northway	O O O O B-party_size_number O B-timeRange I-timeRange O O B-spatial_relation B-restaurant_type O O B-cuisine O O B-city
i need to book a table at the star inn that s within walking distance from my place in ashland	O O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O O B-spatial_relation I-spatial_relation I-spatial_relation O O O O B-city
restaurant that is brasserie for  8 and has wifi	B-restaurant_type O O B-restaurant_type O B-party_size_number O O B-facility
book the bobcat bite	O O B-restaurant_name I-restaurant_name
i need a reservation for four at a restaurant	O O O O O B-party_size_number O O B-restaurant_type
want to eat at diners of allentown  pennsylvania on purim	O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange
book the cityzen for six people	O O B-restaurant_name O B-party_size_number O
i need to book a restaurant for eight nearby limerick one year from now that serves jerky	O O O O O B-restaurant_type O B-party_size_number B-spatial_relation B-city B-timeRange I-timeRange I-timeRange I-timeRange O O B-served_dish
book a table at a bar in moody for deloris  ester and petra alvarez	O O O O O B-restaurant_type O B-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
i want to book a table for a party of 4 at a taverna next spring	O O O O O O O O O O B-party_size_number O O B-restaurant_type B-timeRange I-timeRange
book a reservation for a restaurant in wadsworth with parking	O O O O O B-restaurant_type O B-city O B-facility
book an outdoor restaurant in md at 11 pm for 8	O O B-facility B-restaurant_type O B-state O B-timeRange I-timeRange O B-party_size_number
asiate restaurant in sturgeon for 7	B-restaurant_name B-restaurant_type O B-city O B-party_size_number
book a spot at colony	O O O O B-restaurant_name
get me a reservation at a brasserie that serves jain in pinto	O O O O O O B-restaurant_type O O B-cuisine O B-city
find a reservation for a tavern that serves pizzas for a party of 6	O O O O O B-restaurant_type O O B-served_dish O O O O B-party_size_number
i d like to book the best restaurant in as	O O O O O O B-sort B-restaurant_type O B-state
book a top-rated restaurant in milton-freewater	O O B-sort B-restaurant_type O B-city
book a spot for six at a restaurant in nj	O O O O B-party_size_number O O B-restaurant_type O B-state
i need fast food for nine within the same area as bowers that has a pool nearby on 4/17/2033	O O B-restaurant_type I-restaurant_type O B-party_size_number B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-city O O O B-facility B-spatial_relation O B-timeRange
book a distant restaurant that serves blini on 103rd st for 6 people	O O B-spatial_relation B-restaurant_type O O B-served_dish O B-poi I-poi O B-party_size_number O
book me a lunch at boreas for a party of 8	O O O B-timeRange O B-restaurant_name O O O O B-party_size_number
book a spot at a restaurant faraway from 138th st	O O O O O B-restaurant_type B-spatial_relation O B-poi I-poi
find me a table for two at seven somewhere in australia	O O O O O B-party_size_number O B-timeRange O O B-country
book a food truck for greek food for 7	O O B-restaurant_type I-restaurant_type O B-cuisine O O B-party_size_number
book a pub with a pool in white heath south carolina	O O B-restaurant_type O O B-facility O B-city I-city B-state I-state
book reservations at a north indian bar for 4 people	O O O O B-cuisine I-cuisine B-restaurant_type O B-party_size_number O
let me get reservations at a place neighboring indonesia on august the nineteenth	O O O O O O O B-spatial_relation B-country O B-timeRange I-timeRange I-timeRange
book me a restaurant in henlopen acres for a party of two	O O O B-restaurant_type O B-city I-city O O O O B-party_size_number
i would like to book a fry sauce bar for jul  3  2019	O O O O O O B-served_dish I-served_dish B-restaurant_type O B-timeRange I-timeRange I-timeRange
i would like to book a food truck for my friend and i	O O O O O O B-restaurant_type I-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
me and deanna want to book a restaurant in malawi	B-party_size_description I-party_size_description I-party_size_description O O O O B-restaurant_type O B-country
i would like to book a restaurant neighboring lincoln beach	O O O O O O B-restaurant_type B-spatial_relation B-city I-city
find me a nice restaurant in mulvane	O O O O B-restaurant_type O B-city
need to book a restaurnt for a party of nine on thomas jefferson s birthday	O O O O O O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange
